id,piq,brain,height,weight,sex
0,124.0,81.69,64.5,118,Female
1,150.0,103.84,73.3,143,Male
2,128.0,96.54,68.8,172,Female
3,134.0,95.15,65.0,147,Male
4,110.0,92.88,69.0,146,Male
5,131.0,99.13,64.5,138,Male
6,98.0,85.43,66.0,175,Female
7,84.0,90.49,66.3,134,Male
8,00147.0,95.55,68.8,172,Female
9,124.0,83.39,64.5,118,Male
10,128.0,107.95,70.0,151,Woman
11,124.0,92.41,69.0,155,Man
12,147.0,85.65,70.5,155,Female
13,90.0,87.89,66.0,146,Female
14,96.0,86.54,68.0,135,Male
15,120.0,85.22,68.5,127,Male
16,102.0,94.51,73'5,178,Female
17,84.0,80.8,66.3,136,Female
18,86.100,88.91,70.0,180,Female
19,84.0,90.59,76.5,186,Female
20,00134.0,79.06,62.0,122,n/a
21,128.0,95.5,68.0,132,man
22,102.0,-83.18,63.0,114,Female
23,131.0,93.55,-72.0,171,Male
24,84.0,79.86,68.0,140,Female
25,110.0,106.25,77.0,187,woman
26,72.0,79.35,63'0,106,Female
27,124.0,86.67,66.5,159,Male
28,132'0,85.78,62.5,127,Female
29,137.0,94.96,67.0,191,Male
30,110.0,99.79,75.5,192,Female
30,86.0,88.0,69.0,0,Male
32,81.0,83.43,66.5,143,Female
33,128.0,94.81,66.5,153,Male
34,,94.94,70.5,144,Female
35,94.0,89.4,64.5,139,Male
36,74.0,93.0,,148,Female
37,89.0,93.59,75.5,179,Female
